0,yellow,blue,red,grey,green
733,0,2,1,4,0
734,1,2,0,2,2
735,3,1,1,1,1
736,2,3,2,0,0
737,0,4,2,0,1
738,0,0,3,2,2
739,1,0,3,3,0
740,3,3,0,1,0
741,1,1,2,1,2
742,3,1,0,3,0
743,1,2,1,1,2
744,1,2,1,1,2
745,5,1,1,0,0
746,1,1,1,2,2
747,2,3,2,0,0
748,2,1,2,2,0
749,0,2,2,1,2
750,2,3,1,1,0
751,2,3,1,0,1
752,2,2,0,2,1
753,2,2,1,1,1
754,2,1,2,2,0
755,0,2,3,2,0
756,2,3,2,0,0
757,3,2,0,1,1
758,2,1,2,1,1
759,1,0,0,4,2
760,1,1,2,1,2
761,2,1,2,0,2
762,2,2,2,0,1
763,3,1,0,2,1
764,1,1,2,3,0
765,3,1,0,1,2
766,1,0,2,3,1
767,1,2,1,2,1
768,2,0,3,1,1
769,3,2,0,0,2
770,2,1,1,2,1
771,2,2,3,0,0
772,2,2,1,1,1
773,1,2,1,2,1
774,1,3,1,1,1
775,0,3,1,2,1
776,2,2,2,1,0
777,1,3,1,2,0
778,1,1,1,3,1
779,2,2,1,1,1
780,0,4,2,0,1
781,0,4,1,1,1
782,1,2,0,3,1
783,0,4,0,2,1
784,2,0,3,2,0
785,2,1,2,2,0
786,0,4,2,1,0
787,3,2,2,0,0
788,2,2,1,2,0
789,3,2,0,1,1
790,2,2,2,0,1
791,2,1,0,3,1
792,2,2,2,1,0
793,1,1,1,3,1
794,2,3,1,1,0
795,2,1,1,3,0
796,2,0,2,2,1
797,1,0,1,4,1
798,2,1,1,2,1
799,0,2,1,2,2
800,3,1,2,0,1
801,1,1,2,1,2
802,1,3,2,0,1
803,3,1,2,0,1
804,3,1,1,2,0
805,1,3,0,2,1
806,0,2,2,3,0
807,2,1,1,3,0
808,0,1,2,2,2
809,1,3,1,2,0
810,2,2,1,1,1
811,1,2,2,1,1
812,3,3,0,0,1
813,0,1,2,2,2
814,1,0,3,1,2
815,1,1,4,1,0
816,1,3,1,2,0
817,2,2,1,1,1
818,1,2,4,0,0
819,0,2,1,3,1
820,2,0,3,1,1
821,1,3,2,0,1
822,1,3,2,1,0
823,0,3,2,2,0
824,2,0,3,2,0
825,1,1,1,3,1
826,0,2,2,2,1
827,1,3,1,1,1
828,2,2,1,2,0
829,2,0,1,2,2
830,2,3,0,2,0
831,3,2,0,2,0
832,0,3,2,1,1
833,0,3,1,1,2
834,3,1,0,1,2
835,2,1,1,2,1
836,2,3,2,0,0
837,2,0,3,1,1
838,1,3,0,3,0
839,2,4,0,1,0
840,2,1,3,0,1
841,1,2,2,2,0
842,0,1,1,4,1
843,1,1,2,2,1
844,2,3,0,1,1
845,2,1,1,2,1
846,1,2,1,0,3
847,0,2,4,0,1
848,2,1,1,3,0
849,2,2,1,2,0
850,1,2,2,2,0
851,0,2,2,2,1
852,1,2,2,2,0
853,2,1,3,0,1
854,1,1,1,3,1
855,2,3,0,0,2
856,1,1,1,1,3
857,2,1,1,2,1
858,1,1,1,3,1
859,1,0,2,3,1
860,2,1,2,1,1
861,0,3,4,0,0
862,1,0,0,4,2
863,0,2,2,2,1
864,3,1,1,2,0
865,2,1,1,2,1
866,1,2,1,3,0
867,0,3,2,1,1
868,0,2,2,0,3
869,3,1,1,2,0
870,0,0,3,3,1
871,2,1,2,2,0
872,2,0,2,2,1
873,2,2,0,3,0
874,1,2,2,1,1
875,0,1,2,3,1
876,1,1,3,1,1
877,1,3,2,0,1
878,3,2,1,1,0
879,3,3,0,1,0
880,1,2,2,1,1
881,2,2,2,1,0
882,0,1,1,2,3
883,1,1,1,3,1
884,1,2,2,1,1
885,2,0,2,2,1
886,1,1,2,1,2
887,2,2,1,1,1
888,2,1,0,4,0
889,1,1,2,2,1
890,3,2,1,1,0
891,1,2,1,2,1
892,2,2,1,1,1
893,2,2,2,0,1
894,0,1,0,3,3
895,0,1,2,3,1
896,1,1,3,1,1
897,2,1,3,1,0
898,0,2,2,2,1
899,1,2,1,3,0
900,1,4,0,2,0
901,1,2,3,1,0
902,1,1,3,2,0
903,1,2,3,0,1
904,3,1,1,0,2
905,2,2,1,2,0
906,2,2,1,2,0
907,0,0,3,3,1
908,1,1,4,0,1
909,1,0,3,3,0
910,1,2,1,3,0
911,2,2,0,2,1
912,3,1,2,1,0
913,1,2,2,2,0
914,0,2,2,1,2
915,2,3,1,1,0
916,1,1,2,3,0
917,2,0,3,1,1
918,2,2,0,3,0
919,1,3,0,1,2
920,2,0,2,2,1
921,3,1,2,0,1
922,2,2,1,1,1
923,1,2,2,1,1
924,1,2,0,1,3
925,1,1,1,3,1
926,2,3,1,1,0
927,1,1,2,1,2
928,3,1,2,0,1
929,3,3,1,0,0
930,1,0,3,2,1
931,0,2,2,2,1
932,3,1,0,3,0
933,0,0,3,3,1
934,2,1,1,3,0
935,2,2,0,2,1
936,1,4,1,0,1
937,2,1,3,1,0
938,4,1,0,2,0
939,2,1,1,1,2
940,1,3,2,0,1
941,0,2,2,3,0
942,1,2,0,2,2
943,2,1,0,2,2
944,1,3,0,2,1
945,2,1,2,2,0
946,1,3,1,2,0
947,2,2,2,1,0
948,1,2,1,2,1
949,0,1,2,3,1
