,1,2,3,4,5,6,bonus
733,11,24,32,33,35,40,13
734,6,16,37,38,41,45,18
735,5,10,13,27,37,41,4
736,2,11,17,18,21,27,6
737,13,15,18,24,27,41,11
738,23,27,28,38,42,43,36
739,7,22,29,33,34,35,30
740,4,8,9,16,17,19,31
741,5,21,27,34,44,45,16
742,8,10,13,36,37,40,6
743,15,19,21,34,41,44,10
744,10,15,18,21,34,41,43
745,1,2,3,9,12,23,10
746,3,12,33,36,42,45,25
747,7,9,12,14,23,28,17
748,3,10,13,22,31,32,29
749,12,14,24,26,34,45,41
750,1,2,15,19,24,36,12
751,3,4,16,20,28,44,17
752,4,16,20,33,40,43,7
753,2,17,19,24,37,41,3
754,2,8,17,24,29,31,32
755,13,14,26,28,30,36,37
756,10,14,16,18,27,28,4
757,6,7,11,17,33,44,1
758,5,9,12,30,39,43,24
759,9,33,36,40,42,43,32
760,10,22,27,31,42,43,12
761,4,7,11,24,42,45,30
762,1,3,12,21,26,41,16
763,3,8,16,32,34,43,10
764,7,22,24,31,34,36,15
765,1,3,8,12,42,43,33
766,9,30,34,35,39,41,21
767,5,15,20,31,34,42,22
768,7,27,29,30,38,44,4
769,5,7,11,16,41,45,4
770,1,9,12,23,39,43,34
771,6,10,17,18,21,29,30
772,5,6,11,14,21,41,32
773,8,12,19,21,31,35,44
774,12,15,18,28,34,42,9
775,11,12,29,33,38,42,17
776,8,9,18,21,28,40,20
777,6,12,17,21,34,37,18
778,6,21,35,36,37,41,11
779,6,12,19,24,34,41,4
780,15,17,19,21,27,45,16
781,11,16,18,19,24,39,43
782,6,18,31,34,38,45,20
783,14,15,16,17,38,45,36
784,3,10,23,24,31,39,22
785,4,6,15,25,26,33,40
786,12,15,16,20,24,30,38
787,5,6,13,16,27,28,9
788,2,10,11,19,35,39,29
789,2,6,7,12,19,45,38
790,3,8,19,27,30,41,12
791,2,10,12,31,33,42,32
792,2,7,19,25,29,36,16
793,10,15,21,35,38,43,31
794,6,7,18,19,30,38,13
795,3,10,13,26,34,38,36
796,1,21,26,36,40,41,5
797,5,22,31,32,39,45,36
798,2,10,14,22,32,36,41
799,12,17,23,34,42,45,33
800,1,4,10,12,28,45,26
801,17,25,28,37,43,44,2
802,10,11,12,18,24,42,27
803,5,9,14,26,30,43,2
804,1,10,13,26,32,36,9
805,3,12,13,18,31,32,42
806,14,20,23,31,37,38,27
807,6,10,18,25,34,35,33
808,15,21,31,32,41,43,24
809,6,11,15,17,23,40,39
810,5,10,13,21,39,43,11
811,8,11,19,21,36,45,25
812,1,3,12,14,16,43,10
813,11,30,34,35,42,44,27
814,2,21,28,38,42,45,30
815,17,21,25,26,27,36,4
816,12,18,19,29,31,39,7
817,3,9,12,13,25,43,34
818,14,15,25,28,29,30,3
819,16,25,33,38,40,45,15
820,10,21,22,30,35,42,6
821,1,12,13,24,29,44,16
822,9,18,20,24,27,36,12
823,12,18,24,26,39,40,15
824,7,9,24,29,34,38,26
825,8,15,21,31,33,38,42
826,13,16,24,25,33,36,42
827,5,11,12,29,33,44,14
828,4,7,13,29,31,39,18
829,4,5,31,35,43,45,29
830,5,6,16,18,37,38,17
831,3,10,16,19,31,39,9
832,13,14,19,26,40,43,30
833,12,18,30,39,41,42,19
834,6,8,18,35,42,43,3
835,9,10,13,28,38,45,35
836,1,9,11,14,26,28,19
837,2,25,28,30,33,45,6
838,9,14,17,33,36,38,20
839,3,9,11,12,13,19,35
840,2,4,11,28,29,43,27
841,5,11,14,30,33,38,24
842,14,26,32,36,39,42,38
843,19,21,30,33,34,42,4
844,7,8,13,15,33,45,18
845,1,16,29,33,40,45,6
846,5,18,30,41,43,45,13
847,12,16,26,28,30,42,22
848,1,2,16,22,38,39,34
849,5,13,17,29,34,39,3
850,16,20,24,28,36,39,5
851,14,18,22,26,31,44,40
852,11,17,28,30,33,35,9
853,2,8,23,26,27,44,13
854,20,25,31,32,36,43,3
855,8,15,17,19,43,44,7
856,10,24,40,41,43,44,17
857,6,10,16,28,34,38,43
858,9,13,32,38,39,43,23
859,8,22,35,38,39,41,24
860,4,8,18,25,27,32,42
861,11,17,19,21,22,25,24
862,10,34,38,40,42,43,32
863,16,21,28,35,39,43,12
864,3,7,10,13,25,36,32
865,3,15,22,32,33,45,2
866,9,15,29,34,37,39,12
867,14,17,19,22,24,40,41
868,12,17,28,41,43,44,25
869,2,6,20,27,37,39,4
870,21,25,30,32,40,42,31
871,2,6,12,26,30,34,38
872,2,4,30,32,33,43,29
873,3,5,12,13,33,39,38
874,1,15,19,23,28,42,32
875,19,22,30,34,39,44,36
876,5,16,21,26,34,42,24
877,5,17,18,22,23,43,12
878,2,6,11,16,25,31,3
879,1,4,10,14,15,35,20
880,7,17,19,23,24,45,38
881,4,18,20,26,27,32,9
882,18,34,39,43,44,45,23
883,9,18,32,33,37,44,22
884,4,14,23,28,37,45,17
885,1,3,24,27,39,45,31
886,19,23,28,37,42,45,2
887,8,14,17,27,36,45,10
888,3,7,12,31,34,38,32
889,3,13,29,38,39,42,26
890,1,4,14,18,29,37,6
891,9,13,28,31,39,41,19
892,4,9,17,18,26,42,36
893,1,15,17,23,25,41,10
894,19,32,37,40,41,43,45
895,16,26,31,38,39,41,23
896,5,12,25,26,38,45,23
897,6,7,12,22,26,36,29
898,18,21,28,35,37,42,17
899,8,19,20,21,33,39,37
900,7,13,16,18,35,38,14
901,5,18,20,23,30,34,21
902,7,19,23,24,36,39,30
903,2,15,16,21,22,28,45
904,2,6,8,26,43,45,11
905,3,4,16,27,38,40,20
906,2,5,14,28,31,32,20
907,21,27,29,38,40,44,37
908,3,16,21,22,23,44,30
909,7,24,29,30,34,35,33
910,1,11,17,27,35,39,31
911,4,5,12,14,32,42,35
912,5,8,18,21,22,38,10
913,6,14,16,21,27,37,40
914,16,19,24,33,42,44,27
915,2,6,11,13,22,37,14
916,6,21,22,32,35,36,17
917,1,3,23,24,27,43,34
918,7,11,12,31,33,38,5
919,9,14,17,18,42,44,35
920,2,3,26,33,34,43,29
