color,percentage,count,section
1 ~ 5번대,29%,2,last 5 weeks(by 5 numbers)
6 ~ 10번대,57%,4,last 5 weeks(by 5 numbers)
11 ~ 15번대,43%,3,last 5 weeks(by 5 numbers)
16 ~ 20번대,86%,6,last 5 weeks(by 5 numbers)
21 ~ 25번대,14%,1,last 5 weeks(by 5 numbers)
26 ~ 30번대,100%,7,last 5 weeks(by 5 numbers)
31 ~ 35번대,71%,5,last 5 weeks(by 5 numbers)
36 ~ 40번대,71%,5,last 5 weeks(by 5 numbers)
41 ~ 45번대,29%,2,last 5 weeks(by 5 numbers)
1 ~ 5번대,50%,5,last 10 weeks(by 5 numbers)
6 ~ 10번대,60%,6,last 10 weeks(by 5 numbers)
11 ~ 15번대,100%,10,last 10 weeks(by 5 numbers)
16 ~ 20번대,100%,10,last 10 weeks(by 5 numbers)
21 ~ 25번대,40%,4,last 10 weeks(by 5 numbers)
26 ~ 30번대,80%,8,last 10 weeks(by 5 numbers)
31 ~ 35번대,90%,9,last 10 weeks(by 5 numbers)
36 ~ 40번대,100%,10,last 10 weeks(by 5 numbers)
41 ~ 45번대,80%,8,last 10 weeks(by 5 numbers)
1 ~ 5번대,60%,9,last 15 weeks(by 5 numbers)
6 ~ 10번대,87%,13,last 15 weeks(by 5 numbers)
11 ~ 15번대,93%,14,last 15 weeks(by 5 numbers)
16 ~ 20번대,100%,15,last 15 weeks(by 5 numbers)
21 ~ 25번대,33%,5,last 15 weeks(by 5 numbers)
26 ~ 30번대,80%,12,last 15 weeks(by 5 numbers)
31 ~ 35번대,73%,11,last 15 weeks(by 5 numbers)
36 ~ 40번대,93%,14,last 15 weeks(by 5 numbers)
41 ~ 45번대,80%,12,last 15 weeks(by 5 numbers)
1  (1 ~ 10)번대,60%,6,last 5 weeks(by 10 numbers)
10 (11 ~ 20)번대,90%,9,last 5 weeks(by 10 numbers)
20 (21 ~ 30)번대,80%,8,last 5 weeks(by 10 numbers)
30 (31 ~ 40)번대,100%,10,last 5 weeks(by 10 numbers)
40 (41 ~ 45)번대,20%,2,last 5 weeks(by 10 numbers)
1  (1 ~ 10)번대,55%,11,last 10 weeks(by 10 numbers)
10 (11 ~ 20)번대,100%,20,last 10 weeks(by 10 numbers)
20 (21 ~ 30)번대,60%,12,last 10 weeks(by 10 numbers)
30 (31 ~ 40)번대,95%,19,last 10 weeks(by 10 numbers)
40 (41 ~ 45)번대,40%,8,last 10 weeks(by 10 numbers)
1  (1 ~ 10)번대,76%,22,last 15 weeks(by 10 numbers)
10 (11 ~ 20)번대,100%,29,last 15 weeks(by 10 numbers)
20 (21 ~ 30)번대,59%,17,last 15 weeks(by 10 numbers)
30 (31 ~ 40)번대,86%,25,last 15 weeks(by 10 numbers)
40 (41 ~ 45)번대,41%,12,last 15 weeks(by 10 numbers)
